"Rol","Tipo de lesión","Edad","Sexo","Vehiculo en  el que viajaba","Año","Provincia","Cantón","Distrito","Día","Mes","Edad quinquenal"
"Motociclista","Muerte","22","Hombre","Motocicleta",2019,"Heredia","Heredia","Mercedes","6.Viernes","E. Mayo","De 20 a 24"
"Motociclista","Muerte","28","Hombre","Motocicleta",2019,"Heredia","Santo Domingo","Santa Rosa","2.Lunes","L. Diciembre","De 25 a 29"
"Motociclista","Muerte","39","Hombre","Motocicleta",2019,"San José","Pérez Zeledón","San Pedro","7.Sábado","I. Setiembre","De 35 a 39"
"Peatón","Muerte","69","Hombre","No aplica",2019,"San José","Aserrí","Aserrí","7.Sábado","J. Octubre","De 65 a 69"
"Peatón","Muerte","40","Mujer","No aplica",2019,"San José","Desamparados","Desamparados","6.Viernes","L. Diciembre","De 40 a 44"
"Motociclista","Muerte","35","Hombre","Motocicleta",2019,"Cartago","Cartago","Dulce Nombre","1.Domingo","L. Diciembre","De 35 a 39"
"Motociclista","Muerte","22","Hombre","Motocicleta",2019,"Cartago","Oreamuno","Santa Rosa","1.Domingo","L. Diciembre","De 20 a 24"
"Conductor","Muerte","19","Hombre","Desconocido",2019,"San José","San José","Uruca","3.Martes","A. Enero","De 15 a 19"
"Peatón","Muerte","36","Hombre","No aplica",2019,"Heredia","Heredia","Ulloa","4.Miércoles","D. Abril","De 35 a 39"
"Peatón","Muerte","38","Hombre","No aplica",2019,"San José","San José","Hatillo","7.Sábado","E. Mayo","De 35 a 39"
"Conductor","Muerte","24","Hombre","Automóvil",2019,"Heredia","Heredia","Ulloa","1.Domingo","H. Agosto","De 20 a 24"
"Conductor","Muerte","62","Hombre","Automóvil",2019,"Alajuela","San Ramón","San Isidro","3.Martes","B. Febrero","De 60 a 64"
"Motociclista","Muerte","19","Hombre","Motocicleta",2019,"Limón","Pococí","Cariari","6.Viernes","C. Marzo","De 15 a 19"
"Ciclista","Muerte","21","Hombre","Bicicleta",2019,"Puntarenas","Buenos Aires","Brunka","4.Miércoles","G. Julio","De 20 a 24"
