"Rol","Tipo de lesión","Edad","Sexo","Vehiculo en  el que viajaba","Año","Provincia","Cantón","Distrito","Día","Mes","Edad quinquenal"
"Pasajero moto","Muerte","Desconocido","Mujer","Motocicleta",2023,"Limón","Pococí","Guápiles","6.Viernes","J. Octubre","Desconocida"
"Motociclista","Muerte","35","Hombre","Motocicleta",2023,"Limón","Pococí","Roxana","5.Jueves","L. Diciembre","De 35 a 39"
"Pasajero carro","Muerte","31","Mujer","Automóvil",2023,"Guanacaste","Nicoya","Mansión","2.Lunes","H. Agosto","De 30 a 34"
"Pasajero carro","Muerte","29","Hombre","Automóvil",2023,"Guanacaste","Nicoya","Nicoya","7.Sábado","I. Setiembre","De 25 a 29"
"Conductor","Muerte","24","Hombre","Automóvil",2023,"Limón","Matina","Batán","2.Lunes","C. Marzo","De 20 a 24"
"Motociclista","Muerte","27","Hombre","Motocicleta",2023,"Limón","Matina","Batán","7.Sábado","I. Setiembre","De 25 a 29"
"Ciclista","Muerte","Desconocido","Hombre","Bicicleta",2023,"Alajuela","Alajuela","Alajuela","2.Lunes","C. Marzo","Desconocida"
"Peatón","Muerte","5","Hombre","No aplica",2023,"Alajuela","Atenas","San Isidro","4.Miércoles","E. Mayo","De 05 a 09"
"Motociclista","Muerte","Desconocido","Hombre","Motocicleta",2023,"Alajuela","Alajuela","San Isidro","6.Viernes","H. Agosto","Desconocida"
"Pasajero moto","Muerte","23","Mujer","Motocicleta",2023,"Alajuela","Alajuela","San Isidro","6.Viernes","H. Agosto","De 20 a 24"
"Conductor","Muerte","20","Hombre","Rural",2023,"Guanacaste","La Cruz","La Cruz","7.Sábado","F. Junio","De 20 a 24"
"Conductor","Muerte","58","Hombre","Pick up",2023,"Guanacaste","Carrillo","Palmira","2.Lunes","G. Julio","De 55 a 59"
"Motociclista","Muerte","52","Hombre","Motocicleta",2023,"Cartago","Jiménez","Juan Viñas","5.Jueves","B. Febrero","De 50 a 54"
"Pasajero carro","Muerte","19","Mujer","Automóvil",2023,"San José","Desamparados","San Cristóbal","7.Sábado","J. Octubre","De 15 a 19"
"Conductor","Muerte","26","Hombre","Rural",2023,"Guanacaste","Abangares","Colorado","7.Sábado","A. Enero","De 25 a 29"
"Pasajero moto","Muerte","33","Hombre","Motocicleta",2023,"Guanacaste","Bagaces","Bagaces","5.Jueves","C. Marzo","De 30 a 34"
"Pasajero bicicleta","Muerte","24","Hombre","Bicicleta",2023,"Limón","Talamanca","Cahuita","7.Sábado","D. Abril","De 20 a 24"
"Peatón","Muerte","66","Hombre","No aplica",2023,"Limón","Talamanca","Bratsi","7.Sábado","D. Abril","De 65 a 69"
"Conductor","Muerte","55","Hombre","Taxi",2023,"Limón","Limón","Río Blanco","4.Miércoles","H. Agosto","De 55 a 59"
"Motociclista","Muerte","37","Hombre","Motocicleta",2023,"Limón","Talamanca","Cahuita","3.Martes","H. Agosto","De 35 a 39"
"Motociclista","Muerte","Desconocido","Hombre","Motocicleta",2023,"Heredia","Sarapiquí","Puerto Viejo","1.Domingo","D. Abril","Desconocida"
"Conductor","Muerte","32","Hombre","Automóvil",2023,"Alajuela","Alajuela","Sarapiquí","3.Martes","G. Julio","De 30 a 34"
"Conductor","Muerte","31","Hombre","Automóvil",2023,"Alajuela","Alajuela","Sarapiquí","1.Domingo","J. Octubre","De 30 a 34"
"Pasajero carro","Muerte","36","Hombre","Automóvil",2023,"Alajuela","Alajuela","Sarapiquí","1.Domingo","J. Octubre","De 35 a 39"
"Peatón","Muerte","77","Hombre","No aplica",2023,"Alajuela","San Ramón","San Juan","5.Jueves","E. Mayo","75 y más"
"Motociclista","Muerte","Desconocido","Hombre","Motocicleta",2023,"Guanacaste","Santa Cruz","Tamarindo","7.Sábado","I. Setiembre","Desconocida"
"Conductor","Muerte","40","Hombre","Automóvil",2023,"Guanacaste","Carrillo","Belén","4.Miércoles","I. Setiembre","De 40 a 44"
"Pasajero carro","Muerte","66","Mujer","Automóvil",2023,"Guanacaste","Carrillo","Belén","4.Miércoles","I. Setiembre","De 65 a 69"
"Motociclista","Muerte","75","Hombre","Motocicleta",2023,"Puntarenas","Esparza","Caldera","3.Martes","A. Enero","75 y más"
"Pasajero moto","Muerte","Desconocido","Mujer","Motocicleta",2023,"Puntarenas","Esparza","Caldera","3.Martes","A. Enero","Desconocida"
"Motociclista","Muerte","56","Hombre","Motocicleta",2023,"Limón","Guácimo","Pocora","3.Martes","F. Junio","De 55 a 59"
"Peatón","Muerte","Desconocido","Hombre","No aplica",2023,"Limón","Guácimo","Pocora","6.Viernes","F. Junio","Desconocida"
"Motociclista","Muerte","19","Hombre","Motocicleta",2023,"Puntarenas","Puntarenas","Cóbano","7.Sábado","J. Octubre","De 15 a 19"
"Conductor","Muerte","Desconocido","Hombre","Automóvil",2023,"Limón","Talamanca","Cahuita","1.Domingo","G. Julio","Desconocida"
"Peatón","Muerte","Desconocido","Hombre","No aplica",2023,"Limón","Matina","Carrandi","7.Sábado","K. Noviembre","Desconocida"
"Pasajero carro","Muerte","Desconocido","Hombre","Rural",2023,"Limón","Talamanca","Cahuita","1.Domingo","L. Diciembre","Desconocida"
"Conductor","Muerte","32","Hombre","Camión",2023,"Guanacaste","Nicoya","Quebrada Honda","6.Viernes","G. Julio","De 30 a 34"
