"Rol","Tipo de lesión","Edad","Sexo","Vehiculo en  el que viajaba","Año","Provincia","Cantón","Distrito","Día","Mes","Edad quinquenal"
"Conductor","Muerte","43","Hombre","Camión",2021,"San José","Vázquez de Coronado","Dulce Nombre de Jesús","7.Sábado","I. Setiembre","De 40 a 44"
"Conductor","Muerte","32","Mujer","Automóvil",2021,"Puntarenas","Coto Brus","San Vito","2.Lunes","I. Setiembre","De 30 a 34"
"Peatón","Muerte","30","Hombre","No aplica",2021,"San José","Pérez Zeledón","San Isidro de El General","5.Jueves","C. Marzo","De 30 a 34"
"Peatón","Muerte","29","Hombre","No aplica",2021,"Alajuela","Alajuela","Guácima","5.Jueves","F. Junio","De 25 a 29"
"Motociclista","Muerte","39","Hombre","Motocicleta",2021,"Alajuela","San Carlos","Pocosol","2.Lunes","K. Noviembre","De 35 a 39"
"Motociclista","Muerte","24","Hombre","Motocicleta",2021,"Alajuela","San Carlos","Pocosol","6.Viernes","K. Noviembre","De 20 a 24"
"Motociclista","Muerte","26","Hombre","Motocicleta",2021,"Guanacaste","Nicoya","Sámara","1.Domingo","A. Enero","De 25 a 29"
"Motociclista","Muerte","23","Hombre","Motocicleta",2021,"Guanacaste","Nandayure","Zapotal","1.Domingo","I. Setiembre","De 20 a 24"
"Pasajero carro","Muerte","27","Hombre","Automóvil",2021,"Guanacaste","Nicoya","Quebrada Honda","7.Sábado","J. Octubre","De 25 a 29"
"Motociclista","Muerte","35","Hombre","Motocicleta",2021,"Guanacaste","Nandayure","Santa Rita","5.Jueves","K. Noviembre","De 35 a 39"
"Ciclista","Muerte","28","Mujer","Bicicleta",2021,"San José","Desamparados","San Rafael Abajo","2.Lunes","F. Junio","De 25 a 29"
"Conductor","Muerte","Desconocido","Hombre","Automóvil",2021,"Puntarenas","Parrita","Parrita","1.Domingo","K. Noviembre","Desconocida"
"Motociclista","Muerte","37","Hombre","Motocicleta",2021,"Puntarenas","Buenos Aires","Potrero Grande","7.Sábado","H. Agosto","De 35 a 39"
"Peatón","Muerte","56","Hombre","No aplica",2021,"Puntarenas","Buenos Aires","Brunka","2.Lunes","L. Diciembre","De 55 a 59"
"Conductor","Muerte","36","Hombre","Cabezal con remolque",2021,"Limón","Siquirres","Siquirres","4.Miércoles","K. Noviembre","De 35 a 39"
"Motociclista","Muerte","55","Hombre","Motocicleta",2021,"Puntarenas","Osa","Palmar","2.Lunes","F. Junio","De 55 a 59"
"Motociclista","Muerte","59","Hombre","Motocicleta",2021,"Cartago","La Unión","San Rafael","2.Lunes","H. Agosto","De 55 a 59"
"Motociclista","Muerte","28","Hombre","Motocicleta",2021,"Alajuela","Alajuela","Tambor","7.Sábado","C. Marzo","De 25 a 29"
"Motociclista","Muerte","27","Hombre","Motocicleta",2021,"Alajuela","Alajuela","San José","7.Sábado","D. Abril","De 25 a 29"
"Motociclista","Muerte","21","Hombre","Motocicleta",2021,"Heredia","San Isidro","San José","3.Martes","D. Abril","De 20 a 24"
"Conductor","Muerte","27","Hombre","Automóvil",2021,"Limón","Guácimo","Guácimo","1.Domingo","B. Febrero","De 25 a 29"
"Conductor","Muerte","49","Hombre","Desconocido",2021,"Limón","Pococí","Guápiles","7.Sábado","E. Mayo","De 45 a 49"
"Motociclista","Muerte","51","Hombre","Motocicleta",2021,"Guanacaste","Nicoya","San Antonio","5.Jueves","C. Marzo","De 50 a 54"
"Conductor","Muerte","26","Hombre","Automóvil",2021,"Guanacaste","Abangares","San Juan","2.Lunes","L. Diciembre","De 25 a 29"
"Motociclista","Muerte","35","Hombre","Motocicleta",2021,"Puntarenas","Garabito","Jacó","1.Domingo","I. Setiembre","De 35 a 39"
"Ciclista","Muerte","66","Hombre","Bicicleta",2021,"Guanacaste","Nicoya","San Antonio","2.Lunes","B. Febrero","De 65 a 69"
"Motociclista","Muerte","21","Hombre","Motocicleta",2021,"Limón","Pococí","Guápiles","5.Jueves","G. Julio","De 20 a 24"
"Motociclista","Muerte","58","Hombre","Motocicleta",2021,"Limón","Guácimo","Mercedes","7.Sábado","B. Febrero","De 55 a 59"
"Conductor","Muerte","21","Hombre","Desconocido",2021,"Guanacaste","Liberia","Liberia","5.Jueves","F. Junio","De 20 a 24"
"Ciclista","Muerte","53","Hombre","Bicicleta",2021,"Guanacaste","Carrillo","Belén","7.Sábado","K. Noviembre","De 50 a 54"
"Conductor","Muerte","41","Hombre","Automóvil",2021,"Cartago","Paraíso","Orosi","6.Viernes","B. Febrero","De 40 a 44"
"Pasajero carro","Muerte","51","Mujer","Ambulancia",2021,"San José","Desamparados","San Cristóbal","2.Lunes","J. Octubre","De 50 a 54"
"Pasajero carro","Muerte","53","Mujer","Ambulancia",2021,"San José","Desamparados","San Cristóbal","2.Lunes","J. Octubre","De 50 a 54"
"Conductor","Muerte","58","Hombre","Automóvil",2021,"Puntarenas","Buenos Aires","Biolley","5.Jueves","D. Abril","De 55 a 59"
"Conductor","Muerte","29","Hombre","Automóvil",2021,"Puntarenas","Puntarenas","Pitahaya","1.Domingo","H. Agosto","De 25 a 29"
"Conductor","Muerte","Desconocido","Hombre","Automóvil",2021,"Puntarenas","Puntarenas","Pitahaya","1.Domingo","H. Agosto","Desconocida"
"Conductor","Muerte","42","Hombre","Automóvil",2021,"Puntarenas","Puntarenas","El Roble","3.Martes","L. Diciembre","De 40 a 44"
"Motociclista","Muerte","42","Hombre","Motocicleta",2021,"Limón","Limón","Río Blanco","1.Domingo","C. Marzo","De 40 a 44"
"Peatón","Muerte","80","Mujer","No aplica",2021,"Limón","Matina","Carrandi","2.Lunes","E. Mayo","75 y más"
"Peatón","Muerte","Desconocido","Mujer","No aplica",2021,"Alajuela","Poás","Carrillos","3.Martes","K. Noviembre","Desconocida"
"Motociclista","Muerte","35","Hombre","Motocicleta",2021,"Alajuela","Grecia","Puente de Piedra","4.Miércoles","F. Junio","De 35 a 39"
"Pasajero carro","Muerte","22","Hombre","Rural",2021,"Puntarenas","Puntarenas","Barranca","1.Domingo","K. Noviembre","De 20 a 24"
"Motociclista","Muerte","62","Hombre","Motocicleta",2021,"Puntarenas","Puntarenas","Chomes","5.Jueves","K. Noviembre","De 60 a 64"
"Peatón","Muerte","65","Hombre","No aplica",2021,"Limón","Siquirres","Germania","6.Viernes","A. Enero","De 65 a 69"
"Pasajero carro","Muerte","25","Hombre","Automóvil",2021,"Limón","Matina","Batán","1.Domingo","D. Abril","De 25 a 29"
"Conductor","Muerte","Desconocido","Hombre","Automóvil",2021,"Limón","Pococí","Guápiles","3.Martes","J. Octubre","Desconocida"
"Peatón","Muerte","21","Mujer","No aplica",2021,"Limón","Limón","Limón","5.Jueves","F. Junio","De 20 a 24"
"Peatón","Muerte","Desconocido","Desconocido","No aplica",2021,"Limón","Limón","Matama","2.Lunes","J. Octubre","Desconocida"
"Pasajero moto","Muerte","37","Mujer","Motocicleta",2021,"San José","Desamparados","Patarrá","1.Domingo","J. Octubre","De 35 a 39"
"Peatón","Muerte","79","Mujer","No aplica",2021,"Limón","Siquirres","Pacuarito","5.Jueves","F. Junio","75 y más"
"Motociclista","Muerte","22","Hombre","Motocicleta",2021,"Cartago","La Unión","San Rafael","7.Sábado","B. Febrero","De 20 a 24"
"Motociclista","Muerte","37","Hombre","Motocicleta",2021,"Alajuela","Naranjo","San José","2.Lunes","A. Enero","De 35 a 39"
"Peatón","Muerte","29","Hombre","No aplica",2021,"Limón","Matina","Batán","5.Jueves","F. Junio","De 25 a 29"
"Peatón","Muerte","42","Hombre","No aplica",2021,"Limón","Guácimo","Mercedes","2.Lunes","J. Octubre","De 40 a 44"
"Conductor","Muerte","18","Hombre","Desconocido",2021,"Limón","Matina","Batán","2.Lunes","K. Noviembre","De 15 a 19"
"Motociclista","Muerte","45","Hombre","Motocicleta",2021,"Limón","Siquirres","El Cairo","2.Lunes","L. Diciembre","De 45 a 49"
"Conductor","Muerte","30","Mujer","Automóvil",2021,"Alajuela","Orotina","Orotina","5.Jueves","G. Julio","De 30 a 34"
"Motociclista","Muerte","39","Hombre","Motocicleta",2021,"Puntarenas","Golfito","Golfito","4.Miércoles","J. Octubre","De 35 a 39"
"Motociclista","Muerte","30","Mujer","Motocicleta",2021,"Puntarenas","Puntarenas","Lepanto","2.Lunes","C. Marzo","De 30 a 34"
"Motociclista","Muerte","18","Hombre","Motocicleta",2021,"Limón","Pococí","Cariari","7.Sábado","E. Mayo","De 15 a 19"
"Motociclista","Muerte","22","Hombre","Motocicleta",2021,"Limón","Talamanca","Bratsi","7.Sábado","I. Setiembre","De 20 a 24"
"Conductor","Muerte","33","Mujer","Rural",2021,"Alajuela","San Ramón","San Juan","5.Jueves","I. Setiembre","De 30 a 34"
"Motociclista","Muerte","21","Hombre","Motocicleta",2021,"Cartago","Alvarado","Capellades","6.Viernes","J. Octubre","De 20 a 24"
"Ciclista","Muerte","38","Hombre","Bicicleta",2021,"Cartago","Paraíso","Orosi","1.Domingo","B. Febrero","De 35 a 39"
"Ciclista","Muerte","18","Hombre","Bicicleta",2021,"Puntarenas","Puntarenas","Chacarita","6.Viernes","B. Febrero","De 15 a 19"
"Motociclista","Muerte","28","Hombre","Motocicleta",2021,"San José","Desamparados","San Rafael Arriba","6.Viernes","B. Febrero","De 25 a 29"
"Motociclista","Muerte","47","Hombre","Motocicleta",2021,"San José","Santa Ana","Santa Ana","1.Domingo","D. Abril","De 45 a 49"
"Pasajero moto","Muerte","31","Mujer","Motocicleta",2021,"San José","San José","Uruca","4.Miércoles","L. Diciembre","De 30 a 34"
"Motociclista","Muerte","20","Hombre","Motocicleta",2021,"San José","Aserrí","Aserrí","6.Viernes","K. Noviembre","De 20 a 24"
"Motociclista","Muerte","28","Hombre","Motocicleta",2021,"Heredia","Santa Bárbara","Santa Bárbara","3.Martes","L. Diciembre","De 25 a 29"
"Motociclista","Muerte","31","Hombre","Motocicleta",2021,"Alajuela","Alajuela","San Isidro","5.Jueves","G. Julio","De 30 a 34"
"Conductor","Muerte","19","Mujer","Automóvil",2021,"Alajuela","Orotina","Orotina","1.Domingo","J. Octubre","De 15 a 19"
"Conductor","Muerte","36","Hombre","Pick up",2021,"San José","Tarrazú","San Marcos","6.Viernes","A. Enero","De 35 a 39"
"Conductor","Muerte","41","Hombre","Automóvil",2021,"Cartago","Paraíso","Paraíso","7.Sábado","C. Marzo","De 40 a 44"
"Conductor","Muerte","62","Hombre","Automóvil",2021,"Heredia","Sarapiquí","La Virgen","5.Jueves","D. Abril","De 60 a 64"
"Pasajero moto","Muerte","27","Mujer","Motocicleta",2021,"San José","Goicoechea","Guadalupe","6.Viernes","A. Enero","De 25 a 29"
"Motociclista","Muerte","18","Hombre","Motocicleta",2021,"San José","Vázquez de Coronado","San Isidro","6.Viernes","D. Abril","De 15 a 19"
"Motociclista","Muerte","47","Hombre","Motocicleta",2021,"Limón","Guácimo","Río Jiménez","7.Sábado","H. Agosto","De 45 a 49"
"Motociclista","Muerte","Desconocido","Desconocido","Motocicleta",2021,"Limón","Pococí","Cariari","4.Miércoles","L. Diciembre","Desconocida"
"Ciclista","Muerte","19","Hombre","Bicicleta",2021,"San José","Curridabat","Sánchez","5.Jueves","L. Diciembre","De 15 a 19"
"Motociclista","Muerte","17","Hombre","Motocicleta",2021,"Puntarenas","Quepos","Quepos","7.Sábado","E. Mayo","De 15 a 19"
"Motociclista","Muerte","67","Hombre","Motocicleta",2021,"Puntarenas","Parrita","Parrita","5.Jueves","F. Junio","De 65 a 69"
"Motociclista","Muerte","66","Hombre","Motocicleta",2021,"San José","Desamparados","Desamparados","7.Sábado","C. Marzo","De 65 a 69"
"Conductor","Muerte","36","Hombre","Automóvil",2021,"San José","San José","Catedral","6.Viernes","G. Julio","De 35 a 39"
"Conductor","Muerte","40","Mujer","Automóvil",2021,"Alajuela","Atenas","Concepción","7.Sábado","H. Agosto","De 40 a 44"
"Pasajero carro","Muerte","40","Hombre","Automóvil",2021,"Alajuela","Orotina","Orotina","2.Lunes","J. Octubre","De 40 a 44"
"Conductor","Muerte","37","Hombre","Automóvil",2021,"Heredia","Heredia","Ulloa","6.Viernes","A. Enero","De 35 a 39"
"Ciclista","Muerte","24","Mujer","Bicicleta",2021,"San José","Mora","Colón","3.Martes","A. Enero","De 20 a 24"
"Motociclista","Muerte","22","Hombre","Motocicleta",2021,"Heredia","Heredia","Ulloa","6.Viernes","G. Julio","De 20 a 24"
"Peatón","Muerte","Desconocido","Desconocido","No aplica",2021,"San José","Goicoechea","Calle Blancos","7.Sábado","L. Diciembre","Desconocida"
"Conductor","Muerte","Desconocido","Mujer","Automóvil",2021,"San José","San José","San Sebastián","1.Domingo","D. Abril","Desconocida"
"Pasajero carro","Muerte","29","Mujer","Automóvil",2021,"San José","San José","San Sebastián","1.Domingo","D. Abril","De 25 a 29"
"Peatón","Muerte","48","Hombre","No aplica",2021,"Cartago","La Unión","San Diego","1.Domingo","D. Abril","De 45 a 49"
"Motociclista","Muerte","20","Hombre","Motocicleta",2021,"San José","Montes de Oca","San Rafael","5.Jueves","B. Febrero","De 20 a 24"
"Peatón","Muerte","35","Hombre","No aplica",2021,"San José","San José","San Sebastián","2.Lunes","E. Mayo","De 35 a 39"
"Motociclista","Muerte","31","Hombre","Motocicleta",2021,"San José","San José","San Sebastián","2.Lunes","E. Mayo","De 30 a 34"
"Motociclista","Muerte","40","Hombre","Motocicleta",2021,"San José","San José","Pavas","3.Martes","L. Diciembre","De 40 a 44"
"Conductor","Muerte","65","Hombre","Rural",2021,"Cartago","Alvarado","Cervantes","6.Viernes","F. Junio","De 65 a 69"
"Conductor","Muerte","32","Hombre","Otros",2021,"Cartago","Alvarado","Cervantes","6.Viernes","F. Junio","De 30 a 34"
"Conductor","Muerte","60","Hombre","Camión",2021,"Cartago","Alvarado","Cervantes","6.Viernes","F. Junio","De 60 a 64"
"Pasajero carro","Muerte","Desconocido","Desconocido","Camión",2021,"Cartago","Alvarado","Cervantes","6.Viernes","F. Junio","Desconocida"
"Motociclista","Muerte","32","Hombre","Motocicleta",2021,"Alajuela","Alajuela","Carrizal","6.Viernes","L. Diciembre","De 30 a 34"
"Motociclista","Muerte","20","Hombre","Motocicleta",2021,"Alajuela","Upala","Upala","1.Domingo","J. Octubre","De 20 a 24"
"Peatón","Muerte","41","Hombre","No aplica",2021,"Alajuela","San Carlos","La Fortuna","7.Sábado","L. Diciembre","De 40 a 44"
"Ciclista","Muerte","56","Hombre","Bicicleta",2021,"Puntarenas","Quepos","Quepos","4.Miércoles","L. Diciembre","De 55 a 59"
"Conductor","Muerte","67","Hombre","Desconocido",2021,"Puntarenas","Puntarenas","Paquera","7.Sábado","D. Abril","De 65 a 69"
"Motociclista","Muerte","37","Hombre","Motocicleta",2021,"Alajuela","Orotina","Orotina","1.Domingo","D. Abril","De 35 a 39"
"Motociclista","Muerte","21","Hombre","Motocicleta",2021,"Alajuela","Los Chiles","San Jorge","2.Lunes","A. Enero","De 20 a 24"
"Motociclista","Muerte","30","Hombre","Motocicleta",2021,"Alajuela","San Ramón","Peñas Blancas","1.Domingo","D. Abril","De 30 a 34"
"Peatón","Muerte","40","Hombre","No aplica",2021,"Alajuela","San Carlos","La Fortuna","7.Sábado","L. Diciembre","De 40 a 44"
"Peatón","Muerte","Desconocido","Desconocido","No aplica",2021,"Limón","Limón","Valle la Estrella","4.Miércoles","K. Noviembre","Desconocida"
"Motociclista","Muerte","47","Hombre","Motocicleta",2021,"Limón","Limón","Matama","2.Lunes","L. Diciembre","De 45 a 49"
"Motociclista","Muerte","41","Hombre","Motocicleta",2021,"Alajuela","San Carlos","Pital","1.Domingo","C. Marzo","De 40 a 44"
"Peatón","Muerte","75","Hombre","No aplica",2021,"Alajuela","San Carlos","Florencia","5.Jueves","L. Diciembre","75 y más"
"Peatón","Muerte","20","Hombre","No aplica",2021,"Alajuela","San Carlos","Pital","5.Jueves","L. Diciembre","De 20 a 24"
"Motociclista","Muerte","Desconocido","Mujer","Motocicleta",2021,"Alajuela","San Carlos","Aguas Zarcas","4.Miércoles","L. Diciembre","Desconocida"
"Ciclista","Muerte","31","Hombre","Bicicleta",2021,"San José","Pérez Zeledón","El General","7.Sábado","J. Octubre","De 30 a 34"
"Motociclista","Muerte","49","Hombre","Motocicleta",2021,"San José","Pérez Zeledón","Pejibaye","1.Domingo","L. Diciembre","De 45 a 49"
"Motociclista","Muerte","33","Hombre","Motocicleta",2021,"Alajuela","Grecia","Tacares","5.Jueves","F. Junio","De 30 a 34"
"Peatón","Muerte","36","Hombre","No aplica",2021,"Alajuela","Alajuela","San José","2.Lunes","K. Noviembre","De 35 a 39"
"Conductor","Muerte","48","Hombre","Automóvil",2021,"Alajuela","Alajuela","San Antonio","6.Viernes","L. Diciembre","De 45 a 49"
"Pasajero moto","Muerte","61","Mujer","Motocicleta",2021,"Alajuela","Alajuela","San Antonio","6.Viernes","L. Diciembre","De 60 a 64"
"Motociclista","Muerte","66","Hombre","Motocicleta",2021,"Alajuela","Alajuela","San Antonio","6.Viernes","L. Diciembre","De 65 a 69"
"Pasajero carro","Muerte","63","Hombre","Otros",2021,"San José","Acosta","Sabanillas","3.Martes","K. Noviembre","De 60 a 64"
"Conductor","Muerte","72","Hombre","Automóvil",2021,"Limón","Limón","Limón","6.Viernes","B. Febrero","De 70 a 74"
"Conductor","Muerte","38","Mujer","Automóvil",2021,"Limón","Limón","Limón","3.Martes","C. Marzo","De 35 a 39"
"Peatón","Muerte","39","Hombre","No aplica",2021,"Limón","Talamanca","Sixaola","7.Sábado","E. Mayo","De 35 a 39"
"Motociclista","Muerte","35","Hombre","Motocicleta",2021,"Limón","Limón","Valle la Estrella","5.Jueves","L. Diciembre","De 35 a 39"
"Peatón","Muerte","Desconocido","Hombre","No aplica",2021,"Alajuela","Alajuela","San Antonio","7.Sábado","A. Enero","Desconocida"
"Peatón","Muerte","Desconocido","Hombre","No aplica",2021,"Cartago","Cartago","San Nicolás","7.Sábado","A. Enero","Desconocida"
"Motociclista","Muerte","41","Hombre","Motocicleta",2021,"Cartago","Oreamuno","Cot","5.Jueves","G. Julio","De 40 a 44"
"Motociclista","Muerte","31","Hombre","Motocicleta",2021,"Puntarenas","Esparza","Macacona","5.Jueves","A. Enero","De 30 a 34"
"Motociclista","Muerte","45","Hombre","Motocicleta",2021,"Puntarenas","Montes de Oro","San Isidro","7.Sábado","L. Diciembre","De 45 a 49"
"Motociclista","Muerte","63","Hombre","Motocicleta",2021,"Limón","Pococí","Jiménez","3.Martes","H. Agosto","De 60 a 64"
"Pasajero moto","Muerte","51","Mujer","Motocicleta",2021,"Limón","Pococí","Jiménez","3.Martes","H. Agosto","De 50 a 54"
"Pasajero carro","Muerte","29","Hombre","Rural",2021,"Limón","Pococí","Guápiles","4.Miércoles","H. Agosto","De 25 a 29"
"Motociclista","Muerte","27","Hombre","Motocicleta",2021,"San José","Montes de Oca","San Pedro","2.Lunes","L. Diciembre","De 25 a 29"
"Conductor","Muerte","37","Hombre","Automóvil",2021,"Guanacaste","Liberia","Liberia","3.Martes","B. Febrero","De 35 a 39"
"Pasajero carro","Muerte","Desconocido","Hombre","Automóvil",2021,"Guanacaste","Liberia","Liberia","1.Domingo","E. Mayo","Desconocida"
"Motociclista","Muerte","34","Hombre","Motocicleta",2021,"Guanacaste","Carrillo","Belén","1.Domingo","F. Junio","De 30 a 34"
"Motociclista","Muerte","25","Hombre","Motocicleta",2021,"Puntarenas","Buenos Aires","Brunka","1.Domingo","E. Mayo","De 25 a 29"
"Peatón","Muerte","25","Hombre","No aplica",2021,"San José","Pérez Zeledón","Daniel Flores","4.Miércoles","F. Junio","De 25 a 29"
