"Rol","Tipo de lesión","Edad","Sexo","Vehiculo en  el que viajaba","Año","Provincia","Cantón","Distrito","Día","Mes","Edad quinquenal"
"Motociclista","Muerte","33","Hombre","Motocicleta",2022,"San José","Vázquez de Coronado","Dulce Nombre de Jesús","7.Sábado","L. Diciembre","De 30 a 34"
"Pasajero carro","Muerte","41","Desconocido","Automóvil",2022,"Guanacaste","Santa Cruz","Santa Cruz","1.Domingo","A. Enero","De 40 a 44"
"Pasajero carro","Muerte","8","Desconocido","Automóvil",2022,"Guanacaste","Santa Cruz","Santa Cruz","1.Domingo","A. Enero","De 05 a 09"
"Motociclista","Muerte","81","Hombre","Motocicleta",2022,"Alajuela","San Ramón","San Rafael","5.Jueves","F. Junio","75 y más"
"Conductor","Muerte","66","Hombre","Pick up",2022,"Alajuela","Los Chiles","San Jorge","1.Domingo","B. Febrero","De 65 a 69"
"Motociclista","Muerte","29","Hombre","Motocicleta",2022,"Alajuela","San Carlos","Cutris","3.Martes","B. Febrero","De 25 a 29"
"Motociclista","Muerte","47","Hombre","Motocicleta",2022,"Alajuela","Upala","San José o Pizote","1.Domingo","C. Marzo","De 45 a 49"
"Ciclista","Muerte","38","Hombre","Bicicleta",2022,"Alajuela","San Carlos","La Fortuna","1.Domingo","I. Setiembre","De 35 a 39"
"Conductor","Muerte","24","Hombre","Automóvil",2022,"Guanacaste","Nandayure","Santa Rita","1.Domingo","E. Mayo","De 20 a 24"
"Pasajero carro","Muerte","21","Hombre","Automóvil",2022,"Guanacaste","Nandayure","Santa Rita","1.Domingo","E. Mayo","De 20 a 24"
"Motociclista","Muerte","26","Hombre","Motocicleta",2022,"Puntarenas","Golfito","Guaycará","1.Domingo","I. Setiembre","De 25 a 29"
"Peatón","Muerte","31","Hombre","No aplica",2022,"Puntarenas","Corredores","Corredor","1.Domingo","I. Setiembre","De 30 a 34"
"Ciclista","Muerte","25","Hombre","Bicicleta",2022,"Puntarenas","Golfito","Guaycará","2.Lunes","I. Setiembre","De 25 a 29"
"Peatón","Muerte","36","Mujer","No aplica",2022,"Cartago","Alvarado","Cervantes","3.Martes","H. Agosto","De 35 a 39"
"Conductor","Muerte","33","Hombre","Automóvil",2022,"Alajuela","Alajuela","San Antonio","7.Sábado","L. Diciembre","De 30 a 34"
"Pasajero carro","Muerte","34","Mujer","Automóvil",2022,"Alajuela","Alajuela","San Antonio","7.Sábado","L. Diciembre","De 30 a 34"
"Pasajero carro","Muerte","Desconocido","Desconocido","Automóvil",2022,"Alajuela","Alajuela","San Antonio","7.Sábado","L. Diciembre","Desconocida"
"Peatón","Muerte","Desconocido","Hombre","No aplica",2022,"Guanacaste","Carrillo","Sardinal","7.Sábado","C. Marzo","Desconocida"
"Conductor","Muerte","48","Hombre","Automóvil",2022,"Guanacaste","Carrillo","Palmira","1.Domingo","D. Abril","De 45 a 49"
"Motociclista","Muerte","19","Hombre","Motocicleta",2022,"Guanacaste","Carrillo","Sardinal","7.Sábado","H. Agosto","De 15 a 19"
"Conductor","Muerte","31","Hombre","Automóvil",2022,"Guanacaste","Carrillo","Palmira","2.Lunes","J. Octubre","De 30 a 34"
"Peatón","Muerte","30","Mujer","No aplica",2022,"Guanacaste","Liberia","Liberia","2.Lunes","K. Noviembre","De 30 a 34"
"Motociclista","Muerte","30","Hombre","Motocicleta",2022,"Puntarenas","Buenos Aires","Buenos Aires","3.Martes","K. Noviembre","De 30 a 34"
"Peatón","Muerte","66","Hombre","No aplica",2022,"Limón","Matina","Carrandi","2.Lunes","A. Enero","De 65 a 69"
"Motociclista","Muerte","23","Hombre","Motocicleta",2022,"Guanacaste","Santa Cruz","Veintisiete de Abril","1.Domingo","I. Setiembre","De 20 a 24"
"Ciclista","Muerte","50","Hombre","Bicicleta",2022,"Guanacaste","Santa Cruz","Veintisiete de Abril","4.Miércoles","K. Noviembre","De 50 a 54"
"Motociclista","Muerte","55","Hombre","Motocicleta",2022,"Cartago","Cartago","San Nicolás","4.Miércoles","A. Enero","De 55 a 59"
"Peatón","Muerte","62","Hombre","No aplica",2022,"Cartago","Paraíso","Llanos de Santa Lucía","1.Domingo","C. Marzo","De 60 a 64"
"Motociclista","Muerte","Desconocido","Hombre","Motocicleta",2022,"Alajuela","Alajuela","Carrizal","1.Domingo","B. Febrero","Desconocida"
"Motociclista","Muerte","35","Hombre","Motocicleta",2022,"Alajuela","Alajuela","Garita","1.Domingo","L. Diciembre","De 35 a 39"
"Motociclista","Muerte","32","Hombre","Motocicleta",2022,"Limón","Pococí","Guápiles","7.Sábado","E. Mayo","De 30 a 34"
"Peatón","Muerte","79","Hombre","No aplica",2022,"Limón","Pococí","Cariari","5.Jueves","E. Mayo","75 y más"
