"Rol","Tipo de lesión","Edad","Sexo","Vehiculo en  el que viajaba","Año","Provincia","Cantón","Distrito","Día","Mes","Edad quinquenal"
"Motociclista","Muerte","23","Hombre","Motocicleta",2020,"Puntarenas","Golfito","Puerto Jiménez","7.Sábado","B. Febrero","De 20 a 24"
"Conductor","Muerte","31","Hombre","Automóvil",2020,"Puntarenas","Corredores","Canoas","1.Domingo","C. Marzo","De 30 a 34"
"Motociclista","Muerte","57","Hombre","Motocicleta",2020,"Puntarenas","Corredores","Laurel","4.Miércoles","C. Marzo","De 55 a 59"
"Conductor","Muerte","44","Hombre","Automóvil",2020,"Guanacaste","Nicoya","Mansión","7.Sábado","E. Mayo","De 40 a 44"
"Motociclista","Muerte","22","Hombre","Motocicleta",2020,"Guanacaste","Nicoya","Belén de Nosarita","1.Domingo","J. Octubre","De 20 a 24"
"Motociclista","Muerte","29","Hombre","Motocicleta",2020,"Cartago","Paraíso","Llanos de Santa Lucía","3.Martes","L. Diciembre","De 25 a 29"
"Peatón","Muerte","Desconocido","Hombre","No aplica",2020,"Alajuela","San Ramón","San Isidro","6.Viernes","B. Febrero","Desconocida"
"Motociclista","Muerte","51","Hombre","Motocicleta",2020,"Limón","Pococí","Cariari","6.Viernes","A. Enero","De 50 a 54"
"Ciclista","Muerte","41","Hombre","Bicicleta",2020,"Limón","Siquirres","Pacuarito","5.Jueves","A. Enero","De 40 a 44"
"Ciclista","Muerte","26","Mujer","Bicicleta",2020,"Limón","Siquirres","Pacuarito","5.Jueves","A. Enero","De 25 a 29"
"Peatón","Muerte","53","Hombre","No aplica",2020,"Limón","Limón","Río Blanco","3.Martes","F. Junio","De 50 a 54"
"Conductor","Muerte","38","Hombre","Automóvil",2020,"Limón","Guácimo","Mercedes","6.Viernes","F. Junio","De 35 a 39"
"Motociclista","Muerte","57","Hombre","Motocicleta",2020,"Limón","Siquirres","Alegría","3.Martes","J. Octubre","De 55 a 59"
"Ciclista","Muerte","79","Hombre","Bicicleta",2020,"Limón","Pococí","Rita","3.Martes","G. Julio","75 y más"
"Pasajero bicicleta","Muerte","48","Mujer","Bicicleta",2020,"Limón","Pococí","Cariari","3.Martes","G. Julio","De 45 a 49"
"Peatón","Muerte","33","Hombre","No aplica",2020,"Limón","Pococí","Guápiles","6.Viernes","L. Diciembre","De 30 a 34"
"Motociclista","Muerte","19","Hombre","Motocicleta",2020,"Guanacaste","Nicoya","Sámara","1.Domingo","A. Enero","De 15 a 19"
"Pasajero carro","Muerte","82","Mujer","Pick up",2020,"Guanacaste","Abangares","Colorado","1.Domingo","B. Febrero","75 y más"
"Pasajero carro","Muerte","54","Mujer","Pick up",2020,"Guanacaste","Cañas","Porozal","6.Viernes","I. Setiembre","De 50 a 54"
"Pasajero carro","Muerte","67","Hombre","Pick up",2020,"Guanacaste","Cañas","Porozal","6.Viernes","I. Setiembre","De 65 a 69"
"Motociclista","Muerte","30","Hombre","Motocicleta",2020,"Puntarenas","Montes de Oro","San Isidro","4.Miércoles","L. Diciembre","De 30 a 34"
"Conductor","Muerte","50","Hombre","Automóvil",2020,"Limón","Matina","Matina","5.Jueves","D. Abril","De 50 a 54"
