"Rol","Tipo de lesión","Edad","Sexo","Vehiculo en  el que viajaba","Año","Provincia","Cantón","Distrito","Día","Mes","Edad quinquenal"
"Peatón","Muerte","35","Hombre","No aplica",2018,"Alajuela","Alajuela","San Isidro","6.Viernes","I. Setiembre","De 35 a 39"
"Peatón","Muerte","Desconocido","Hombre","No aplica",2018,"Alajuela","Alajuela","Alajuela","4.Miércoles","I. Setiembre","Desconocida"
"Conductor","Muerte","Desconocido","Hombre","Automóvil",2018,"Limón","Pococí","Rita","2.Lunes","F. Junio","Desconocida"
"Conductor","Muerte","30","Hombre","Rural",2018,"Guanacaste","Santa Cruz","Cabo Velas","5.Jueves","H. Agosto","De 30 a 34"
"Motociclista","Muerte","39","Hombre","Motocicleta",2018,"Guanacaste","Santa Cruz","Tempate","4.Miércoles","K. Noviembre","De 35 a 39"
"Motociclista","Muerte","19","Hombre","Motocicleta",2018,"San José","Pérez Zeledón","Barú","5.Jueves","C. Marzo","De 15 a 19"
"Motociclista","Muerte","48","Hombre","Motocicleta",2018,"San José","Pérez Zeledón","Pejibaye","5.Jueves","H. Agosto","De 45 a 49"
"Peatón","Muerte","44","Hombre","No aplica",2018,"Alajuela","San Ramón","San Rafael","1.Domingo","I. Setiembre","De 40 a 44"
"Conductor","Muerte","24","Hombre","Desconocido",2018,"San José","Desamparados","Los Guido","3.Martes","H. Agosto","De 20 a 24"
"Conductor","Muerte","23","Hombre","Desconocido",2018,"Cartago","Oreamuno","San Rafael","2.Lunes","J. Octubre","De 20 a 24"
"Peatón","Muerte","42","Hombre","No aplica",2018,"San José","San José","Uruca","6.Viernes","D. Abril","De 40 a 44"
"Pasajero moto","Muerte","46","Mujer","Motocicleta",2018,"Limón","Pococí","Rita","1.Domingo","D. Abril","De 45 a 49"
"Ciclista","Muerte","54","Hombre","Bicicleta",2018,"Puntarenas","Quepos","Quepos","4.Miércoles","L. Diciembre","De 50 a 54"
"Peatón","Muerte","75","Mujer","No aplica",2018,"Limón","Siquirres","Pacuarito","1.Domingo","D. Abril","75 y más"
"Conductor","Muerte","58","Hombre","Rural",2018,"Puntarenas","Osa","Puerto Cortés","6.Viernes","F. Junio","De 55 a 59"
"Motociclista","Muerte","34","Hombre","Motocicleta",2018,"Cartago","Paraíso","Santiago","6.Viernes","C. Marzo","De 30 a 34"
"Peatón","Muerte","62","Hombre","No aplica",2018,"Alajuela","Alajuela","Garita","3.Martes","C. Marzo","De 60 a 64"
"Motociclista","Muerte","52","Hombre","Motocicleta",2018,"Alajuela","Alajuela","San Rafael","5.Jueves","J. Octubre","De 50 a 54"
"Motociclista","Muerte","26","Hombre","Motocicleta",2018,"Alajuela","Grecia","Grecia","4.Miércoles","D. Abril","De 25 a 29"
"Conductor","Muerte","60","Hombre","Taxi",2018,"San José","Tibás","San Juan","6.Viernes","A. Enero","De 60 a 64"
"Conductor","Muerte","42","Hombre","Otros",2018,"Limón","Guácimo","Daucarí","4.Miércoles","E. Mayo","De 40 a 44"
"Motociclista","Muerte","26","Hombre","Motocicleta",2018,"Limón","Pococí","Cariari","3.Martes","F. Junio","De 25 a 29"
"Pasajero carro","Muerte","35","Hombre","Automóvil",2018,"Guanacaste","Nandayure","Santa Rita","4.Miércoles","B. Febrero","De 35 a 39"
"Conductor","Muerte","49","Hombre","Desconocido",2018,"Puntarenas","Puntarenas","Acapulco","2.Lunes","C. Marzo","De 45 a 49"
"Motociclista","Muerte","17","Hombre","Motocicleta",2018,"Guanacaste","Liberia","Liberia","7.Sábado","B. Febrero","De 15 a 19"
"Pasajero bus o microbús","Muerte","Desconocido","Hombre","Autobús",2018,"Guanacaste","La Cruz","Santa Elena","1.Domingo","D. Abril","Desconocida"
"Pasajero carro","Muerte","32","Hombre","Rural",2018,"Guanacaste","Carrillo","Filadelfia","7.Sábado","J. Octubre","De 30 a 34"
"Conductor","Muerte","44","Hombre","Otros",2018,"Alajuela","Grecia","Puente de Piedra","6.Viernes","H. Agosto","De 40 a 44"
"Motociclista","Muerte","17","Hombre","Motocicleta",2018,"Cartago","Jiménez","Pejibaye","1.Domingo","L. Diciembre","De 15 a 19"
